Text,Story of Self (Origin),Story of Us,Story of Now,Challenge,Choice,Outcome,
Wow.,,,,,,
Thank you.,,,,,,
Thank you.,,,,,,
Thank you.,,,,,,
Wow.,,,,,,
Thank you.,,,,,,
"""Thank you, first of all, to Vice President Harris.""",,,,,,
"""Thanks for putting your trust in me, and for inviting me to be part of this incredible campaign.""",,,,,,
"""Is it weird?",,,1,,,
Absolutely.,,,1,,,
Absolutely.,,,1,,,
"But it’s also wrong, and it’s dangerous.",,,1,1,,
"It’s not just me saying so, it’s Trump’s own people.",,,1,1,,
They were with him for four years.,,,1,1,,
"They’re warning us that the next four years will be much, much worse.""",,,1,1,,
"""You know, when I was teaching, every year we’d elect a student body president.",1,,,,,
And you know what?,,,,,,
Those teenagers could teach Donald Trump a hell of a lot about what a leader is.,,1,,,,
Leaders don’t spend all day insulting people and blaming others.,,1,,,,
"Leaders do the work.""",,1,,,1,
"""So I don’t know about you, I’m ready to turn the page on these guys.",,,1,,1,
"So, go ahead.",,,1,,1,
"Say it with me: We’re not going back.""",,1,1,,1,
[Crowd chants: “We’re not going back.”],,1,1,,,1
,,,,,,
"""We’ve got something better to offer the American people.",,1,1,,,
"It starts with our candidate, Kamala Harris.",,1,1,,,
"From her first day — as a prosecutor, as a district attorney, as an attorney general, as a United States senator, and then our vice president — she’s fought on the side of the American people.",,1,1,,,1
She’s taken on the predators and fraudsters.,,1,1,,,1
She’s taken down the transnational gangs.,,1,1,,,1
And she’s stood up to powerful corporate interests.,,1,1,,,1
She has never hesitated to reach across that aisle if it meant improving your lives.,,1,1,,,1
"And she’s always done it with energy, with passion and with joy.""",,1,1,,,1
"""Folks, we’ve got a chance to make Kamala Harris the next president of the United States.",,1,1,,1,
But I think we owe it to the American people to tell them exactly what she’d do as president before we ask them for their votes.,,1,1,,,
"So this is the part — clip and save it, and send it to your undecided relatives so they know: If you’re a middle-class family, or trying to get into the middle class, Kamala Harris is going to cut your taxes.",,1,1,,,1
"If you’re getting squeezed by prescription drug prices, Kamala Harris is going to take on Big Pharma.",,1,1,,,1
"If you’re hoping to buy a home, Kamala Harris is going to help make it more affordable.",,1,1,,,1
"And no matter who you are, Kamala Harris is going to stand up and fight for your freedom to live the life that you want to lead, because that’s what we want for ourselves, and it’s what we want for our neighbors.""",,1,1,,,1
"""You know, you might not know it, but I haven’t given a lot of big speeches like this.",1,,,,,
But I have given a lot of pep talks.,1,,,,,
"So let me finish with this, team.",,,1,,1,
It’s the fourth quarter.,,,1,1,,
We’re down a field goal.,,,1,1,,
But we’re on offense and we’ve got the ball.,,,1,,1,1
We’re driving down the field.,,,1,,,1
"And boy, do we have the right team.",,1,1,,,1
Kamala Harris is tough.,,1,1,,,
Kamala Harris is experienced.,,1,1,,,
And Kamala Harris is ready.,,1,1,,,1
"Our job, our job, our job, our job for everyone watching, is to get in the trenches and do the blocking and tackling.",,1,1,,1,
One inch at a time.,,,1,,1,
One yard at a time.,,,1,,1,
One phone call at a time.,,,1,,1,
One door knock at a time.,,,1,,1,
One $5 donation at a time.,,,1,,1,
"""Look, we’ve got 76 days.",,,1,1,,
That’s nothing.,,,1,,,
There’ll be time to sleep when you’re dead.,,,1,1,,
We’re going to leave it on the field.,,,1,,,1
